TP	FP	TN	FN	TPR	FPR	Accuracy	Precision	Recall	Specificity	F1_Score	RSQ	parameter	parameter.value
133	0	956	911	0.1274	0	0.5445	1	0.1274	1	0.226	0.95	Skew	0
957	189	767	87	0.9167	0.1977	0.862	0.8351	0.9167	0.8023	0.874	0	Skew	1
957	189	767	87	0.9167	0.1977	0.862	0.8351	0.9167	0.8023	0.874	0.05	Skew	1
957	189	767	87	0.9167	0.1977	0.862	0.8351	0.9167	0.8023	0.874	0.1	Skew	1
957	189	767	87	0.9167	0.1977	0.862	0.8351	0.9167	0.8023	0.874	0.15	Skew	1
957	182	774	87	0.9167	0.1904	0.8655	0.8402	0.9167	0.8096	0.8768	0.2	Skew	1
956	175	781	88	0.9157	0.1831	0.8685	0.8453	0.9157	0.8169	0.8791	0.25	Skew	1
951	163	793	93	0.9109	0.1705	0.872	0.8537	0.9109	0.8295	0.8814	0.3	Skew	1
943	140	816	101	0.9033	0.1464	0.8795	0.8707	0.9033	0.8536	0.8867	0.35	Skew	1
925	108	848	119	0.886	0.113	0.8865	0.8955	0.886	0.887	0.8907	0.4	Skew	1
905	76	880	139	0.8669	0.0795	0.8925	0.9225	0.8669	0.9205	0.8938	0.45	Skew	1
867	57	899	177	0.8305	0.0596	0.883	0.9383	0.8305	0.9404	0.8811	0.5	Skew	1
818	42	914	226	0.7835	0.0439	0.866	0.9512	0.7835	0.9561	0.8592	0.55	Skew	1
763	22	934	281	0.7308	0.023	0.8485	0.972	0.7308	0.977	0.8343	0.6	Skew	1
704	15	941	340	0.6743	0.0157	0.8225	0.9791	0.6743	0.9843	0.7986	0.65	Skew	1
639	10	946	405	0.6121	0.0105	0.7925	0.9846	0.6121	0.9895	0.7549	0.7	Skew	1
566	8	948	478	0.5421	0.0084	0.757	0.9861	0.5421	0.9916	0.6996	0.75	Skew	1
490	5	951	554	0.4693	0.0052	0.7205	0.9899	0.4693	0.9948	0.6368	0.8	Skew	1
406	3	953	638	0.3889	0.0031	0.6795	0.9927	0.3889	0.9969	0.5588	0.85	Skew	1
276	2	954	768	0.2644	0.0021	0.615	0.9928	0.2644	0.9979	0.4175	0.9	Skew	1
119	0	956	925	0.114	0	0.5375	1	0.114	1	0.2046	0.95	Skew	1
